moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Avatarw1wDec 18, 2009w425000000.0w760507625.0w2776345279
Pirates of the Caribbean: On Stranger Tidesw2wMay 20, 2011w410600000.0w241063875.0w1045663875
Dark Phoenixw3wJun 7, 2019w350000000.0w42762350.0w149762350
Avengers: Age of Ultronw4wMay 1, 2015w330600000.0w459005868.0w1403013963
Star Wars Ep. VIII: The Last Jediw5wDec 15, 2017w317000000.0w620181382.0w1316721747
"Star Wars Ep. VII: The Force Awakens"w6wDec 18, 2015w306000000.0w936662225.0w2053311220
Avengers: Infinity Warw7wApr 27, 2018w300000000.0w678815482.0w2048134200
Pirates of the Caribbean: At Worldâs Endw8wMay 24, 2007w300000000.0w309420425.0w963420425
Justice Leaguew9wNov 17, 2017w300000000.0w229024295.0w655945209
Spectrew10wNov 6, 2015w300000000.0w200074175.0w879620923
The Dark Knight Risesw11wJul 20, 2012w275000000.0w448139099.0w1084439099
Solo: A Star Wars Storyw12wMay 25, 2018w275000000.0w213767512.0w393151347
The Lone Rangerw13wJul 2, 2013w275000000.0w89302115.0w260002115
John Carterw14wMar 9, 2012w275000000.0w73058679.0w282778100
Tangledw15wNov 24, 2010w260000000.0w200821936.0w586477240
Spider-Man 3w16wMay 4, 2007w258000000.0w336530303.0w894860230
Captain America: Civil Warw17wMay 6, 2016w250000000.0w408084349.0w1140069413
"Batman v Superman: Dawn of Justice"w18wMar 25, 2016w250000000.0w330360194.0w867500281
The Hobbit: An Unexpected Journeyw19wDec 14, 2012w250000000.0w303003568.0w1017003568
Harry Potter and the Half-Blood Princew20wJul 15, 2009w250000000.0w302089278.0w935213767
The Hobbit: The Desolation of Smaugw21wDec 13, 2013w250000000.0w258366855.0w960366855
The Hobbit: The Battle of the Five Armiesw22wDec 17, 2014w250000000.0w255119788.0w945577621
The Fate of the Furiousw23wApr 14, 2017w250000000.0w225764765.0w1234846267
Superman Returnsw24wJun 28, 2006w232000000.0w200120000.0w374085065
Pirates of the Caribbean: Dead Men Tell No Talesw25wMay 26, 2017w230000000.0w172558876.0w788241137
Quantum of Solacew26wNov 14, 2008w230000000.0w169368427.0w591692078
The Avengersw27wMay 4, 2012w225000000.0w623279547.0w1517935897
Pirates of the Caribbean: Dead Manâs Chestw28wJul 7, 2006w225000000.0w423315812.0w1066215812
Man of Steelw29wJun 14, 2013w225000000.0w291045518.0w667999518
The Chronicles of Narnia: Prince Caspianw30wMay 16, 2008w225000000.0w141621490.0w417341288
The Amazing Spider-Manw31wJul 3, 2012w220000000.0w262030663.0w757890267
Battleshipw32wMay 18, 2012w220000000.0w65233400.0w313477717
Transformers: The Last Knightw33wJun 21, 2017w217000000.0w130168683.0w602893340
Jurassic Worldw34wJun 12, 2015w215000000.0w652270625.0w1648854864
Men in Black 3w35wMay 25, 2012w215000000.0w179020854.0w654213485
Transformers: Revenge of the Fallenw36wJun 24, 2009w210000000.0w402111870.0w836519699
Transformers: Age of Extinctionw37wJun 27, 2014w210000000.0w245439076.0w1104039076
X-Men: The Last Standw38wMay 26, 2006w210000000.0w234362462.0w459260946
